Node,Movement,aveQueue,PersDelay(All),Stops(All)
8.0,SE-NW,9.416666666666666,24.166666666666668,0.8166666666666668
8.0,SE-W,9.416666666666666,25.016666666666666,0.85
8.0,W-E,23.916666666666668,35.949999999999996,1.0466666666666666
8.0,W-NW,23.916666666666668,16.716666666666665,0.7583333333333333
8.0,W-SE,0.0,14.216666666666669,0.5316666666666667
9.0,NE-SE,28.28333333333333,62.63333333333333,1.6783333333333335
9.0,NE-W,28.28333333333333,34.96666666666667,1.28
9.0,SE-NE,8.950000000000001,7.283333333333332,0.22666666666666668
9.0,SE-W,8.950000000000001,36.766666666666666,0.7716666666666666
9.0,W-NE,20.166666666666668,32.36666666666667,1.0466666666666666
9.0,W-SE,3.9333333333333336,20.25,1.0599999999999998
10.0,NE-NW,18.8,1.05,0.043333333333333335
10.0,NE-SE,18.8,42.56666666666667,1.0033333333333332
